verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
DIAG MESSAGE SOS A CONTROLER INTERMITENT,MESSAGE SOS A CONTROLER AFFICHER PAR INTERMITENCE,MESSAGE SOS A CONTROLER AFFICHER PAR INTERMITENCE//REMPLACEMENT BOITIER TELEMATIQUE//fic numero 4 11198523,DIAG MESSAGE SOS A CONTROLER INTERMITENT,MESSAGE SOS A CONTROLER AFFICHER PAR INTERMITENCE,MESSAGE SOS A CONTROLER AFFICHER PAR INTERMITENCEREMPLACEMENT BOITIER TELEMATIQUEfic numero 4 11198523,DIAG MESSAGE SOS A CONTROLER INTERMITENT. MESSAGE SOS A CONTROLER AFFICHER PAR INTERMITENCE. MESSAGE SOS A CONTROLER AFFICHER PAR INTERMITENCEREMPLACEMENT BOITIER TELEMATIQUEfic numero 4 11198523,"message ""sos to check"""
,,VOYANT SOS ALLUME / ACTIS 68875,,,VOYANT SOS ALLUME  ACTIS 68875, . VOYANT SOS ALLUME ACTIS 68875,"message ""sos to check"""
SPIA SOS ACCESA,CALCOLATORE TELEMATICO CON DTC AEOE49-AE138F      CAUSA GUASTO INTERNO: SOSTITUZIONE CALCOLATORE,SPIA SOS ACCESA//CALCOLATORE TELEMATICO CON DTC AEOE49-AE138F      CAUSA GUASTO INTERNO: SOSTITUZIONE CALCOLATORE,VOYANT SOS ALLUMÉ,CALCULATEUR TÉLÉMATIQUE AVEC DTC AEOE49-AE138F DEFAUT INTERNE CAUSE : REMPLACEMENT CALCULATEUR,VOYANT SOS SUR CALCULATEUR TÉLÉMATIQUE AVEC DTC AEOE49-AE138F DEFAUT INTERNE CAUSE : REMPLACEMENT CALCULATEUR,VOYANT SOS ALLUMÉ. CALCULATEUR TÉLÉMATIQUE AVEC DTC AEOE49-AE138F DEFAUT INTERNE CAUSE : REMPLACEMENT CALCULATEUR. VOYANT SOS SUR CALCULATEUR TÉLÉMATIQUE AVEC DTC AEOE49-AE138F DEFAUT INTERNE CAUSE : REMPLACEMENT CALCULATEUR,"message ""sos to check"""
MESSAGE SOS A CONTROLER,,MESSAGE SOS A CONT,MESSAGE SOS A CONTROLER,,MESSAGE SOS A CONT,MESSAGE SOS A CONTROLER. MESSAGE SOS A CONT,"message ""sos to check"""
message sos a controler,,application 68875,message sos a controler,,demande 68875,message sos a controler. demande 68875,"message ""sos to check"""
"In der Instrumentafel wird ""Notruf prüfen""angezeigt - Diagnose erstellen und","In der Instrumentafel wird ""Notruf prüfen""angezeigt - Diagnose erstellen & instandsetzen|",Fehler DTCAE0E49 ausgelesen siehe Actislösung: 68875 &  Actislösung:58634 Telematiksteuergerät austauschen.//Actislösung: 68875 &  Actislösung:58634 angewendet Telematiksteuergerät ausgetauscht & Neuprogrammierung durchgeführt.,"""Vérifier l'appel d'urgence"" s'affiche au combiné - créez un diagnostic et","""Vérifier l'appel d'urgence"" s'affiche sur le tableau de bord - créer et réparer le diagnostic|",Erreur DTCAE0E49 lire voir solution Actis : 68875 & solution Actis : 58634 Remplacer l'unité de commande télématique. Solution Actis : 68875 et solution Actis : 58634 appliquée Unité de commande télématique remplacée et reprogrammation effectuée.,"""Vérifier l'appel d'urgence"" s'affiche au combiné - créez un diagnostic et. ""Vérifier l'appel d'urgence"" s'affiche sur le tableau de bord - créer et réparer le diagnostic|. Erreur DTCAE0E49 lire voir solution Actis : 68875 & solution Actis : 58634 Remplacer l'unité de commande télématique. Solution Actis : 68875 et solution Actis : 58634 appliquée Unité de commande télématique remplacée et reprogrammation effectuée.","message ""sos to check"""
AGGIORNAMENTO CONINUO SU MULTIMEDIALE   FIC 4-11354216,,FIC- 4-11354216                         DIAGNOSI PROVA RIPROGRAMMAZIONE         E AGGIORNAMENTO//SOST CALCOLATORE TELEMATICO             RIPROGRAM. CENTRALINA                   FRANCIA CI HA INVIATO UN FILE DA//INSERIRE UNA PACH,MISE À JOUR CONTINUE SUR LE MULTIMÉDIA FIC 4-11354216,,FIC- 4-11354216 TEST DE DIAGNOSTIC REPROGRAMMATION ET MISE A JOUR APRÈS REPROGRAMMATION CALCULATRICE TÉLÉMATIQUE. CENTRALINA FRANCE NOUS A ENVOYÉ UN FICHIER POUR INSÉRER UN PACH,MISE À JOUR CONTINUE SUR LE MULTIMÉDIA FIC 4-11354216. FIC- 4-11354216 TEST DE DIAGNOSTIC REPROGRAMMATION ET MISE A JOUR APRÈS REPROGRAMMATION CALCULATRICE TÉLÉMATIQUE. CENTRALINA FRANCE NOUS A ENVOYÉ UN FICHIER POUR INSÉRER UN PACH,inexploitable
Servi?o de chamada de emerg ncia: avaria,Servi?o de chamada de emerg ncia: avaria,Substituir bateria telematica//Substituir bateria telematica,Service d'appel d'urgence : dysfonctionnement,Service d'appel d'urgence : dysfonctionnement,Remplacer la batterie télématique Remplacer la batterie télématique,Service d'appel d'urgence : dysfonctionnement. Service d'appel d'urgence : dysfonctionnement. Remplacer la batterie télématique Remplacer la batterie télématique,"message ""sos to check"""
,"Fehlerspeicher ausgelesen, Notrufbatterie und     Telematiksteuergerät erneuert",Notrufsystem Funktionsstörung,,"Lecture de la mémoire d'erreurs, remplacement de la batterie de secours et de l'unité de contrôle télématique",Dysfonctionnement du système d'appel d'urgence," Lecture de la mémoire d'erreurs, remplacement de la batterie de secours et de l'unité de contrôle télématique. Dysfonctionnement du système d'appel d'urgence",inexploitable
ESCE MESSAGGIO CHIAMATA SOS CONTROLLARE,ESCE MESSAGGIO CHIAMATA SOS CONTROLLARE,RISCONTRATA CENTRALINA DIFETTOSA//SOSTITUITACENTRALINA TELEMATICA,QUITTER LA VÉRIFICATION DES MESSAGES D'APPEL SOS,QUITTER LA VÉRIFICATION DES MESSAGES D'APPEL SOS,CENTRALE TROUVÉE DÉFECTUEUSE REMPLACEMENT DE LA CENTRALE TÉLÉMATIQUE,QUITTER LA VÉRIFICATION DES MESSAGES D'APPEL SOS. QUITTER LA VÉRIFICATION DES MESSAGES D'APPEL SOS. CENTRALE TROUVÉE DÉFECTUEUSE REMPLACEMENT DE LA CENTRALE TÉLÉMATIQUE,"message ""sos to check"""
SPIA SOS ACCESA,CALCOLATORE TELEMATICO GUASTO INTERNO,SOST CALC. TELEMATICO,VOYANT SOS ALLUMÉ,CALCULATEUR TÉLÉMATIQUE DE DÉFAILLANCE INTERNE,REMPLACER CALC. TÉLÉMATIQUE,VOYANT SOS ALLUMÉ. CALCULATEUR TÉLÉMATIQUE DE DÉFAILLANCE INTERNE. REMPLACER CALC. TÉLÉMATIQUE,"message ""sos to check"""
WYMIANA WADLIWEGO MODUU TRANSMISYJNEGO,WYMIANA WADLIWEGO MODUU TRANSMISJI,"DEM. MONT. SCHOWEK PASAŞERA, DEM. MONT. MODU TRANSMISJI",REMPLACEMENT D'UN MODULE DE TRANSMISSION DEFECTUEUX,REMPLACEMENT D'UN MODULE DE TRANSMISSION DEFECTUEUX,"DEM. MONT. COMPARTIMENT DE RANGEMENT, PASSAGER, DEM. MONT. MODE TRANSMISSION","REMPLACEMENT D'UN MODULE DE TRANSMISSION DEFECTUEUX. REMPLACEMENT D'UN MODULE DE TRANSMISSION DEFECTUEUX. DEM. MONT. COMPARTIMENT DE RANGEMENT, PASSAGER, DEM. MONT. MODE TRANSMISSION",inexploitable
VERIF TEST CHAMADA SOS,DEF DA CAIXA TELEMATICA,SUBST CX TELEMATICA,VÉRIFIER LE TEST D'APPEL SOS,COFFRET TÉLÉMATIQUE DEF,SUBST CX TELEMATICA,VÉRIFIER LE TEST D'APPEL SOS. COFFRET TÉLÉMATIQUE DEF. SUBST CX TELEMATICA,"message ""sos to check"""
A = Lyser for fejl p} SOS I436,"Fejlkode DTC-932C13,AE0E49 aflæst og fejlsøgt",Fejl i telematikstyreenhed//Telematikstyreenhed skiftet,A = S'allume en cas de défauts sur} SOS I436,"Code d'erreur DTC-932C13, lecture et débogage AE0E49",Erreur de contrôleur télématiqueContrôleur télématique remplacé,"A = S'allume en cas de défauts sur} SOS I436. Code d'erreur DTC-932C13, lecture et débogage AE0E49. Erreur de contrôleur télématiqueContrôleur télématique remplacé","message ""sos to check"""
MESSAGE FREIN DE PARKING A CONTROLE,"suite ctrl continuité cablage , defaillance interne au boitier telematique , rempl calculateur tcu","recherche de panne, ctrl outil diag , ctrl cablage ,remplace ment tcu , reprog , raz dtc , essai RE x 2 pour transport A//LLER ET RETOUR  depuis site CAT",MESSAGE FREIN DE PARKING A CONTROLE,"suite ctrl continuité cablage , defaillance interne au boitier telematique , rempl calculateur tcu","recherche de panne, ctrl outil diag , ctrl cablage ,remplace ment tcu , reprog , raz dtc , essai RE x 2 pour transport ALLER ET RETOUR  depuis site CAT","MESSAGE FREIN DE PARKING A CONTROLE. suite ctrl continuité cablage , defaillance interne au boitier telematique , rempl calculateur tcu. recherche de panne, ctrl outil diag , ctrl cablage ,remplace ment tcu , reprog , raz dtc , essai RE x 2 pour transport ALLER ET RETOUR depuis site CAT","message ""sos to check"""
SPIA SERVICE ACCESA SOS DA CONTROLLARE,DTC932C13 USB -CONNETTIVITà UNITà TELEMATICA-SOST. CALCOLATORE TELEMATICO CON RIPROGRAMAMZIONE E CON,SOST. CALCOLATORE TELEMATICO CON RIPROGRAMAMZIONE,VOYANT DE SERVICE SUR SOS À VÉRIFIER,DTC932C13 USB - CONNECTIVITÉ UNITÉ TÉLÉMATIQUE - REMPLACEMENT CALCULATEUR TÉLÉMATIQUE AVEC REPROGRAMMATION ET AVEC,SUBST. CALCULATRICE TÉLÉMATIQUE AVEC REPROGRAMMATION,VOYANT DE SERVICE SUR SOS À VÉRIFIER. DTC932C13 USB - CONNECTIVITÉ UNITÉ TÉLÉMATIQUE - REMPLACEMENT CALCULATEUR TÉLÉMATIQUE AVEC REPROGRAMMATION ET AVEC. SUBST. CALCULATRICE TÉLÉMATIQUE AVEC REPROGRAMMATION,"message ""sos to check"""
,Fehlermeldung DTC932C13 USB-Telematikgerät Konnekt ivität,Fehlermeldung Notruf prüfen leuchtet auf,,Message d'erreur DTC932C13 Connectivité du périphérique télématique USB,Vérifier le message d'erreur d'appel d'urgence s'allume, Message d'erreur DTC932C13 Connectivité du périphérique télématique USB. Vérifier le message d'erreur d'appel d'urgence s'allume,"message ""sos to check"""
Notruf prüfen,SERVICEANZEIGE UND NOTRUF PRÜFEN WIRD ANGEZEIGT,KONTREOLLE UND DIAGNOSE--BATTERIE VOM TELEMATIKSTEUERTEIL DEFEKT--BATTERIE ERNEUERT INKL FUNTIONSPRÜFUNG//HINWEIS---KEINE AW-WERTE IM MPO UND IM DIALOGYS HINTERLEGT |||| CODE 1999 NÖTIG |||,Vérifier l'appel d'urgence,VÉRIFIER L'INDICATEUR DE SERVICE ET L'APPEL D'URGENCE AFFICHÉS,CONTRÔLE ET DIAGNOSTIC--BATTERIE DE LA CENTRALE TÉLÉMATIQUE DÉFECTUEUSE--BATTERIE REMPLACÉE Y COMPRIS AVIS DE TEST FONCTIONNEL---PAS DE VALEURS AW MÉMORISÉES DANS MPO ET DANS DIALOGYS |||| CODE 1999 OBLIGATOIRE |||,Vérifier l'appel d'urgence. VÉRIFIER L'INDICATEUR DE SERVICE ET L'APPEL D'URGENCE AFFICHÉS. CONTRÔLE ET DIAGNOSTIC--BATTERIE DE LA CENTRALE TÉLÉMATIQUE DÉFECTUEUSE--BATTERIE REMPLACÉE Y COMPRIS AVIS DE TEST FONCTIONNEL---PAS DE VALEURS AW MÉMORISÉES DANS MPO ET DANS DIALOGYS |||| CODE 1999 OBLIGATOIRE |||,"message ""sos to check"""
SOS A CONTROLER,voyant sos à controler,"diagnostic, remplacement et configuration batterie calculate ur télématique.",SOS POUR CONTRÔLER,voyant sos à controler,"diagnostic, remplacement et configuration batterie calculate ur télématique.","SOS POUR CONTRÔLER. voyant sos à controler. diagnostic, remplacement et configuration batterie calculate ur télématique.","message ""sos to check"""
MESSAGE DEFAUT APPEL URGENCE  ;,MESSAGE DEFAUT APPEL URGENCE,PASSAGE CLIP RECH ACTIS CTRL ET REMPLACEMENT PILE SOS,MESSAGE DEFAUT APPEL URGENCE  ;,MESSAGE DEFAUT APPEL URGENCE,PASSAGE CLIP RECH ACTIS CTRL ET REMPLACEMENT PILE SOS,MESSAGE DEFAUT APPEL URGENCE ;. MESSAGE DEFAUT APPEL URGENCE. PASSAGE CLIP RECH ACTIS CTRL ET REMPLACEMENT PILE SOS,"message ""sos to check"""
SVIJETLI SOS,,ZAMJENA TCU AKUMULATORA,SOS LUMINEUX,,REMPLACEMENT DE LA BATTERIE TCU,SOS LUMINEUX. REMPLACEMENT DE LA BATTERIE TCU,"message ""sos to check"""
CHAMADA SOS,PESQUISA AVARIA. SUBSTITUIåàO BATERIA DE TELEM TICA. CONFIGURAåàO DO CALCULADOR DE TELEM TICA.,CONTROLO DA QUALIDADE DA REPARAåàO: OK,APPEL SOS,RECHERCHE DE PANNE. BATTERIE TÉLÉMATIQUE DE REMPLACEMENT. RÉGLAGE DU CALCULATEUR TÉLÉMATIQUE.,CONTRÔLE QUALITÉ RÉPARATION : OK,APPEL SOS. RECHERCHE DE PANNE. BATTERIE TÉLÉMATIQUE DE REMPLACEMENT. RÉGLAGE DU CALCULATEUR TÉLÉMATIQUE. CONTRÔLE QUALITÉ RÉPARATION : OK,"message ""sos to check"""
TESTIGO DE SOS ENCENDIDO,SUSTITUIR CAJERO TELEMATICO,"CONTROL CON CLIP,VERIFICAR INSTALACION ,ABRIR FIC 4-11223611,SUSTITUIR CAJERO TELEMATICO",VOYANT SOS ALLUMÉ,REMPLACER GAB,"CONTRÔLE AVEC CLIP, VÉRIFIER L'INSTALLATION, OUVRIR FIC 4-11223611, REMPLACER ATM","VOYANT SOS ALLUMÉ. REMPLACER GAB. CONTRÔLE AVEC CLIP, VÉRIFIER L'INSTALLATION, OUVRIR FIC 4-11223611, REMPLACER ATM","message ""sos to check"""
SEGNALA:SOS CONTROLLARE,CALCOLATORE TCU GUASTO,"SOSTITUZIONE CALCOLATORE TCU, FIC N. 4-11153751",RAPPORT : VÉRIFICATION SOS,CALCULATEUR TCU DÉFECTUEUX,"REMPLACEMENT DE L'ORDINATEUR TCU, FIC n° 4-11153751","RAPPORT : VÉRIFICATION SOS. CALCULATEUR TCU DÉFECTUEUX. REMPLACEMENT DE L'ORDINATEUR TCU, FIC n° 4-11153751","message ""sos to check"""
TESTIGO SOS,SUT CALCULADOR TELEMATICO,CALCULADOR  TELEMATICO CIRCUITADO,TÉMOIN SOS,CALCULATRICE TÉLÉMATIQUE SUT,CALCULATRICE TÉLÉMATIQUE CIRCUITADO,TÉMOIN SOS. CALCULATRICE TÉLÉMATIQUE SUT. CALCULATRICE TÉLÉMATIQUE CIRCUITADO,"message ""sos to check"""
msg sos a controler,Defaut boitier telematique,Defaut boitier telematique,msg sos a controler,Defaut boitier telematique,Defaut boitier telematique,msg sos a controler. Defaut boitier telematique. Defaut boitier telematique,"message ""sos to check"""
MESSAGE SOS A CONTROLER,2591a9796r x 1----jm,message sos a controler....passage clip pour Controle de fau t .....défaut boitier tcu rempt de celui ci et tout est ok//-----  fic 4-11176759,MESSAGE SOS A CONTROLER,2591a9796r x 1----jm,message sos a controler....passage clip pour Controle de fau t .....défaut boitier tcu rempt de celui ci et tout est ok-----  fic 4-11176759,MESSAGE SOS A CONTROLER. 2591a9796r x 1----jm. message sos a controler..passage clip pour Controle de fau t ...défaut boitier tcu rempt de celui ci et tout est ok----- fic 4-11176759,"message ""sos to check"""
Notruf prüfen wird angezeigt,Notruf prüfen wird angezeigt,"Kontrolle mit Clip auf Fehler, gespeichert ist: DTCAE0E49//Austausch Telematiksteuergerät, Konfiguration Steuergerät//Funktionsprobe = OK",Vérifier que l'appel d'urgence est affiché,Vérifier que l'appel d'urgence est affiché,"Vérifiez avec le clip pour les erreurs, stocké est : DTCAE0E49 remplacement de l'unité de contrôle télématique, configuration du test de fonctionnement de l'unité de contrôle = OK","Vérifier que l'appel d'urgence est affiché. Vérifier que l'appel d'urgence est affiché. Vérifiez avec le clip pour les erreurs, stocké est : DTCAE0E49 remplacement de l'unité de contrôle télématique, configuration du test de fonctionnement de l'unité de contrôle = OK","message ""sos to check"""
REVISAR LLAMADA SOS,,"FALLO INTERNO TCU, DTC AEOE49, SUSTITUIR TCU",VÉRIFIER L'APPEL SOS,,"DEFAUT INTERNE TCU, DTC AEOE49, REMPLACER TCU","VÉRIFIER L'APPEL SOS. DEFAUT INTERNE TCU, DTC AEOE49, REMPLACER TCU","message ""sos to check"""
,,CTRL ET ESSAI,,,CTRL ET ESSAI, . CTRL ET ESSAI,inexploitable
,REMPL CALCULATEUR TCU,DIAG + FIC 4-11179642//ESSAI CONFIC TCU - ATTENTE SOLUTION FIC//REMPL TCU - CONFIG TCU,,REMPL CALCULATEUR TCU,DIAG + FIC 4-11179642TESTS CONFIC TCU - ATTENDRE SOLUTION FICREMPL TCU - CONFIG TCU, REMPL CALCULATEUR TCU. DIAG + FIC 4-11179642TESTS CONFIC TCU - ATTENDRE SOLUTION FICREMPL TCU - CONFIG TCU,"message ""sos to check"""
APPEL SOS A CONTROLER,,"controle outil diag,configuration calculateur de telematique",APPEL SOS A CONTROLER,,"controle outil diag,configuration calculateur de telematique","APPEL SOS A CONTROLER. controle outil diag,configuration calculateur de telematique","message ""sos to check"""
BOUTON SOS RESTE ENCLENCHE,REMPLACEMENT BOITIER TELEMATIQUE,BOUTON SOS RESTE ENCLENCHE,BOUTON SOS RESTE ENCLENCHE,REMPLACEMENT BOITIER TELEMATIQUE,BOUTON SOS RESTE ENCLENCHE,BOUTON SOS RESTE ENCLENCHE. REMPLACEMENT BOITIER TELEMATIQUE. BOUTON SOS RESTE ENCLENCHE,"message ""sos to check"""
SOS warning light on.,Checked & found DTC AE0196 stored.  Traced to internal failure of telematics battery.,"Replaced telematics battery as required, rechecked & tested, all ok.//Replaced telematics battery as required, rechecked & tested, all ok.",Voyant SOS allumé.,Vérifié et trouvé DTC AE0196 stocké. Attribué à une défaillance interne de la batterie télématique.,"Batterie télématique remplacée au besoin, revérifiée et testée, tout ok. Batterie télématique remplacée au besoin, revérifiée et testée, tout ok.","Voyant SOS allumé. Vérifié et trouvé DTC AE0196 stocké. Attribué à une défaillance interne de la batterie télématique. Batterie télématique remplacée au besoin, revérifiée et testée, tout ok. Batterie télématique remplacée au besoin, revérifiée et testée, tout ok.","message ""sos to check"""
Anzeige SOS/Notruf prüfen,Defekt im Telematik Notruf ohne Funktion,Defekt im Telematik Notruf ohne Funktion//Ersatzfahrzeug Kadjar,Vérifiez l'affichage de l'appel d'urgence SOS,Défaut de l'appel d'urgence télématique sans fonction,Défaut dans l'appel d'urgence télématique sans fonctionVéhicule de remplacement Kadjar,Vérifiez l'affichage de l'appel d'urgence SOS. Défaut de l'appel d'urgence télématique sans fonction. Défaut dans l'appel d'urgence télématique sans fonctionVéhicule de remplacement Kadjar,"message ""sos to check"""
MESSAGE SOS A CONTROLER,"Suite diag, boitier télématique défectueux, remise en conformité selon MR dialogys","Suite diag, boitier télématique défectueux, remise en confor mité selon MR dialogys Recherche de panne, ctrl cablage, di//ag guidé nécessite rempl acement boitier télématique, vérouillage calcul d'airbag Rempl du boitier télém, déverrouillage//calcul d'airbag, repr og calcul télém, explication et remise facture au client",MESSAGE SOS A CONTROLER,"Suite diag, boitier télématique défectueux, remise en conformité selon MR dialogys","Suite diag, boitier télématique défectueux, remise en confor mité selon MR dialogys Recherche de panne, ctrl cablage, diag guidé nécessite rempl acement boitier télématique, vérouillage calcul d'airbag Rempl du boitier télém, déverrouillagecalcul d'airbag, repr og calcul télém, explication et remise facture au client","MESSAGE SOS A CONTROLER. Suite diag, boitier télématique défectueux, remise en conformité selon MR dialogys. Suite diag, boitier télématique défectueux, remise en confor mité selon MR dialogys Recherche de panne, ctrl cablage, diag guidé nécessite rempl acement boitier télématique, vérouillage calcul d'airbag Rempl du boitier télém, déverrouillagecalcul d'airbag, repr og calcul télém, explication et remise facture au client","message ""sos to check"""
"Kunde beanstandet:AUFLEUCHTEN KONTOLLLAMPE "" NOTRUF PRÜFEN """,,ACTIS 68875 ANGEWENDET OHNE ERFOLG; AUSTAUSCH TELEMATIKSTEUERGERÄT UND//FUNKTIONSPRÜFUNG; SYSTEM WIEDER IO,"Le client se plaint : LE VOYANT ""VÉRIFIER L'APPEL D'URGENCE"" S'ALLUME",,ACTIS 68875 APPLIQUÉ SANS SUCCÈS ; REMPLACEMENT DE L'UNITÉ DE COMMANDE TÉLÉMATIQUE ET TEST FONCTIONNEL ; SYSTEME OK A NOUVEAU,"Le client se plaint : LE VOYANT ""VÉRIFIER L'APPEL D'URGENCE"" S'ALLUME. ACTIS 68875 APPLIQUÉ SANS SUCCÈS ; REMPLACEMENT DE L'UNITÉ DE COMMANDE TÉLÉMATIQUE ET TEST FONCTIONNEL ; SYSTEME OK A NOUVEAU","message ""sos to check"""
SOS prüfen,Batterie hat Niederspannung,SOS Batterie ers.,Vérifier SOS,La batterie est à basse tension,Remplacement de la batterie SOS.,Vérifier SOS. La batterie est à basse tension. Remplacement de la batterie SOS.,"message ""sos to check"""
SOS A CONTROLER,Anomalie interne de la batterie du calculateur telematique,Anomalie interne de la batterie du calculateur telematique,SOS POUR CONTRÔLER,Anomalie interne de la batterie du calculateur telematique,Anomalie interne de la batterie du calculateur telematique,SOS POUR CONTRÔLER. Anomalie interne de la batterie du calculateur telematique. Anomalie interne de la batterie du calculateur telematique,"message ""sos to check"""
DIAG DIFFERANT MESSAGES FANTOME APPARAISSENT QUELQUES SECONDES,controle et remp calculateur telematique dtc AE0E49,controle et remp calculateur telematique. solution 68875 ET CONFIGURATION//controle et remp calculateur telematique dtc AE0E49,DIAG DIFFERANT MESSAGES FANTOME APPARAISSENT QUELQUES SECONDES,controle et remp calculateur telematique dtc AE0E49,controle et remp calculateur telematique. solution 68875 ET CONFIGURATIONcontrole et remp calculateur telematique dtc AE0E49,DIAG DIFFERANT MESSAGES FANTOME APPARAISSENT QUELQUES SECONDES. controle et remp calculateur telematique dtc AE0E49. controle et remp calculateur telematique. solution 68875 ET CONFIGURATIONcontrole et remp calculateur telematique dtc AE0E49,"message ""sos to check"""
CONTROLLO SOS CHIAMATA DI EMERGENZA,CONTROLLO SISTEMA MULTIMEDIALE FATTO DIAGNOSI CON ESITO DTCAE0E4 CALCOLATORE TELEMATICA,SOSTITUITO CALCOLATORE,APPEL D'URGENCE SOS VÉRIFIER,CONTRÔLE DU SYSTÈME MULTIMÉDIA DIAGNOSTIQUÉ AVEC RÉSULTAT DTCAE0E4 CALCULATEUR TÉLÉMATIQUE,CALCULATEUR REMPLACÉ,APPEL D'URGENCE SOS VÉRIFIER. CONTRÔLE DU SYSTÈME MULTIMÉDIA DIAGNOSTIQUÉ AVEC RÉSULTAT DTCAE0E4 CALCULATEUR TÉLÉMATIQUE. CALCULATEUR REMPLACÉ,"message ""sos to check"""
MESSAGE ALERTE SOS A CONTROLER,TCU DEFECTUEUX,CTRL DTC932C13 FIC 4-11126300 REMPL TCU SELON MR BILAN ELEC OK,MESSAGE ALERTE SOS A CONTROLER,TCU DÉFECTUEUX,CTRL DTC932C13 FIC 4-11126300 REMPL TCU SELON MR BILAN ELEC OK,MESSAGE ALERTE SOS A CONTROLER. TCU DÉFECTUEUX. CTRL DTC932C13 FIC 4-11126300 REMPL TCU SELON MR BILAN ELEC OK,"message ""sos to check"""
MESSAGE SOS A CONTROLER,2591A9796R x 1---noyon,message sos a controler....passage clip pour Controle de fau t .... defaut interne au tcu ----rempt de celui ci et tout//est ok,MESSAGE SOS A CONTROLER,2591A9796R x 1---noyon,message sos a controler....passage clip pour Controle de fau t .... defaut interne au tcu ----rempt de celui ci et toutest ok,MESSAGE SOS A CONTROLER. 2591A9796R x 1---noyon. message sos a controler..passage clip pour Controle de fau t .. defaut interne au tcu ----rempt de celui ci et toutest ok,"message ""sos to check"""
REVISAR LLAMASA SOS,SALTA MENSAJE SOS POR FALLO INTERNO EN CALCULADOR TELEMATICO,RPR-001137798 - DTCAE0E49 EN UD CONTROL TELEMATICA Y DTC932C13 UNIDAD COMUNICACI,VÉRIFIER LES APPELS SOS,LE MESSAGE SOS SAUT EN RAISON D'UNE PANNE INTERNE DANS L'ORDINATEUR TÉLÉMATIQUE,RPR-001137798 - DTCAE0E49 DANS UNITÉ DE COMMANDE TÉLÉMATIQUE ET UNITÉ DE COMMUNICATION DTC932C13,VÉRIFIER LES APPELS SOS. LE MESSAGE SOS SAUT EN RAISON D'UNE PANNE INTERNE DANS L'ORDINATEUR TÉLÉMATIQUE. RPR-001137798 - DTCAE0E49 DANS UNITÉ DE COMMANDE TÉLÉMATIQUE ET UNITÉ DE COMMUNICATION DTC932C13,"message ""sos to check"""
MESS SOS CONTROLLARE,ANOMALIA CALCOLATORE TELEMATICA,SOSTITUITO CALCOLATORE TELEMATICA COM EDA AUT FIC 4-11172168,VÉRIFICATION SOS MESS,DEFAUT CALCULATEUR TELEMATIQUE,ORDINATEUR REMPLACÉ TÉLÉMATIQUE COM EDA AUT FIC 4-11172168,VÉRIFICATION SOS MESS. DEFAUT CALCULATEUR TELEMATIQUE. ORDINATEUR REMPLACÉ TÉLÉMATIQUE COM EDA AUT FIC 4-11172168,"message ""sos to check"""
